DIVISION,HUB,PROJECT_NUMBER,PROJECT_NAME
Orlando,Polk HUB,11197,Ranches at McLeod 40s GC
Orlando,Polk HUB,16443,Magnolia Park 50
Orlando,Polk HUB,16466,Cypress Park 50s
Orlando,Polk HUB,26320,Hamilton Bluff 50s
Orlando,Polk HUB,26329,Peace Creek 40s CORE
Orlando,Polk HUB,26330,Peace Creek 50s CORE
Orlando,Polk HUB,26331,Ranches 40s CORE
Orlando,Polk HUB,26332,Ranches 50s CORE
Orlando,Polk HUB,26336,Reedy Isle 50s
Orlando,Polk HUB,26350,Sol Vista
Orlando,Polk HUB,26354,Grandview TH
Orlando,Polk HUB,26355,Gum Lake 40s
Orlando,Polk HUB,26356,Gum Lake 50s
Orlando,Polk HUB,26362,Villa Mar 40s
Orlando,Polk HUB,26368,Hunt Club 50GC
Orlando,Polk HUB,26369,Ranches 50GC
Orlando,Polk HUB,26370,Ranches 60GC
Orlando,Southwest HUB,11130,Knightsbridge 50s
Orlando,Southwest HUB,11164,Waterlin 35s RL
Orlando,Southwest HUB,11165,Waterlin 40s RL
Orlando,Southwest HUB,11166,Waterlin 45s
Orlando,Southwest HUB,11167,Waterlin 50s
Orlando,Southwest HUB,11168,Waterlin 60s
Orlando,Southwest HUB,11170,Hamilton Bluff 40s
Orlando,Southwest HUB,11171,Knightsbridge 2
Orlando,Southwest HUB,11175,Crossprairie 25 TH
Orlando,Southwest HUB,11176,Crossprairie 32s
Orlando,Southwest HUB,11177,Crossprairie 50s
Orlando,Southwest HUB,11178,Westview 22 TH
Orlando,Southwest HUB,11179,Lennar at Esplanade Villas
Orlando,Southwest HUB,11180,Westview 40s
Orlando,Southwest HUB,11181,Westview 50s
Orlando,Southwest HUB,11182,Lennar at Esplanade 45s
Orlando,Southwest HUB,11196,Westview 50s GC
Orlando,Southwest HUB,16428,Pine Glen 50s
Orlando,Southwest HUB,16429,Pine Glen 60s
Orlando,Southwest HUB,16436,Tohoqua 50s
Orlando,Southwest HUB,16437,Storey Creek 40s
Orlando,Southwest HUB,16438,Storey Creek 50's
Orlando,Southwest HUB,16439,Storey Creek 60s
Orlando,Southwest HUB,16497,Tohoqua II 25 TH
Orlando,Southwest HUB,16498,Tohoqua II 32s
Orlando,Southwest HUB,16499,Tohoqua II 50s
Orlando,Southwest HUB,26300,Bridgewalk SL 25 TH
Orlando,Southwest HUB,26301,Bridgewalk SL 40s
Orlando,Southwest HUB,26302,Bridgewalk SL 50s
Orlando,Southwest HUB,26303,Bridgewalk SL 60s
Orlando,Southwest HUB,26319,Plymouth Harbor 75
Orlando,Southwest HUB,26323,Kissimmee Park 34
Orlando,Southwest HUB,26324,Westview 45s
Orlando,Southwest HUB,26325,Nona Townhomes
Orlando,Southwest HUB,26333,Westview 40s CORE
Orlando,Southwest HUB,26334,Westview 45s CORE
Orlando,Southwest HUB,26335,Westview 50s CORE
Orlando,Southwest HUB,26359,Reunion Village 40s
Orlando,Southwest HUB,26374,Westview 40s GC
Orlando,Southwest HUB,26375,Westview 45s GC
Orlando,Southwest HUB,65315,Bridgewalk 50s
Orlando,Southwest HUB,65316,Bridgewalk 60s
Orlando,Southwest HUB,65319,Bridgewalk 40s
Tampa,<No Hub>,8205,DD - Tampa
Tampa,<No Hub>,8221,Land Dev AG LB  Tampa
Tampa,<No Hub>,8248,Tampa Land DD
Tampa,<No Hub>,8450,LHI TAMPA LAND
Tampa,<No Hub>,15922,Krycul 20 THs
Tampa,<No Hub>,15956,Southshore Bay 20 TH
Tampa,<No Hub>,TPU-FCO024,(Blank)
Tampa,HUB 1,15339,Angeline 50
Tampa,HUB 1,15360,Southern Hills 52
Tampa,HUB 1,15361,Southern Hills 65
Tampa,HUB 1,15904,Avalon Ph4 50S
Tampa,HUB 1,15936,Verano 40s
Tampa,HUB 1,15937,Verano 50s
Tampa,HUB 1,15940,Little Lk Thoma 18
Tampa,HUB 1,15970,New Port Corners AA Villas
Tampa,HUB 1,15971,New Port Corners AA 50's
Tampa,HUB 1,15972,New Port Corners AA 60's
Tampa,HUB 1,15973,New Port Corners 18 TH
Tampa,HUB 1,15974,New Port Corners 25 RL TH
Tampa,HUB 1,15975,New Port Corners 32 RL
Tampa,HUB 1,15976,New Port Corners 40's
Tampa,HUB 1,15977,New Port Corners 50's
Tampa,HUB 1,15980,Angeline AA Villas
Tampa,HUB 1,15981,Angeline AA 50s
Tampa,HUB 1,15982,Angeline AA 60s
Tampa,HUB 1,15984,Angeline 20 TH
Tampa,HUB 1,15985,Angeline 28 TH
Tampa,HUB 1,15986,Angeline 40
Tampa,HUB 1,24139,Avalon East 40s
Tampa,HUB 1,24166,Angeline Villas
Tampa,HUB 1,24189,Seville 50s Core
Tampa,HUB 1,24194,Jumper Loop 50s
Tampa,HUB 1,25504,Sherman Hills 4B 40s CORE 1
Tampa,HUB 1,25524,Seville 50s Elev
Tampa,HUB 1,25530,Angeline 2C Villas
Tampa,HUB 2,7278,SouthShore Yacht Club Interior 50
Tampa,HUB 2,15034,Big Connerton TH
Tampa,HUB 2,15035,Big Connerton Villas
Tampa,HUB 2,15036,Big Connerton 40
Tampa,HUB 2,15037,Big Connerton 50
Tampa,HUB 2,15180,Forest Brooke AA Villa
Tampa,HUB 2,15186,Bryant Square 18 TH
Tampa,HUB 2,15370,Wiregrass Ranch Condos
Tampa,HUB 2,15919,Big Connerton 50 PIN
Tampa,HUB 2,15920,Big Connerton 60 PIN
Tampa,HUB 2,15923,Longleaf 20 THs
Tampa,HUB 2,15924,Longleaf 32 RLs
Tampa,HUB 2,15959,Cross Creek 20 TH
Tampa,HUB 2,15987,Pearl 50s
Tampa,HUB 2,15989,West River THs
Tampa,HUB 2,15997,Manhattan THs
Tampa,HUB 2,24148,Dusty Lane 50's
Tampa,HUB 2,24184,Hillcrest East 40's
Tampa,HUB 2,24185,Hillcrest East 50's PIN
Tampa,HUB 2,24186,Hillcrest East 60's PIN
Tampa,HUB 2,25520,Hilltop Point 50s
Tampa,HUB 2,66534,Cordoba - Estates
Tampa,HUB 2,66572,Tarramor - Premier
Tampa,HUB 3,7290,Southfork Ph 2 P1
Tampa,HUB 3,15933,Mirada 18 THs
Tampa,HUB 3,15934,Mirada 20 THs
Tampa,HUB 3,15935,Mirada 28-30 THs
Tampa,HUB 3,15939,Mirada 50s
Tampa,HUB 3,15944,Triple Creek 50 NP
Tampa,HUB 3,15967,Sandhill 40
Tampa,HUB 3,15968,Sandhill 50
Tampa,HUB 3,15988,Mirada AA Villas
Tampa,HUB 3,15994,Palm River 15 THs
Tampa,HUB 3,24100,Triple Creek 40 QR
Tampa,HUB 3,24101,Triple Creek 50 QR
Tampa,HUB 3,24102,Triple Creek 60 QR
Tampa,HUB 3,24129,Bayou Heights 28 THs
Tampa,HUB 3,24136,Bellamy 40s
Tampa,HUB 3,24137,Bellamy 50s
Tampa,HUB 3,24149,Acacia Fields 40's
Tampa,HUB 3,24150,Acacia Fields 50's
Tampa,HUB 3,24152,Twinflowers 20' THs
Tampa,HUB 3,24153,Twinflowers 40's
Tampa,HUB 3,24154,Twinflowers 50's
Tampa,HUB 3,24160,Vista Walk 20' THs
Tampa,HUB 3,24161,Vista Walk 50/55s
Tampa,HUB 3,24162,Claire Bay TH
Tampa,HUB 3,24174,Sagebrush 40's
Tampa,HUB 3,24175,Sagebrush 50's
Tampa,HUB 3,24181,Mirada THs PH23 20' THs
Tampa,HUB 3,25518,Acacia Fields 18THs
Tampa,HUB 3,25519,Acacia Fields 55s
Tampa,HUB 3,50060,Mirada AA 35s
Tampa,HUB 3,50061,Mirada AA 50s
Tampa,HUB 3,50062,Mirada AA 60s
Tampa,HUB 4,7277,SouthShore Yacht Club Waterfront 50
Tampa,HUB 4,15182,Forest Brooke AA 60
Tampa,HUB 4,15185,North Park Isle 60
Tampa,HUB 4,15916,Berry Bay 50s
Tampa,HUB 4,15960,Wind Meadows S 50
Tampa,HUB 4,15992,Two Rivers 40s
Tampa,HUB 4,15993,Two Rivers 50s
Tampa,HUB 4,15998,N Park 2C3B&4 50
Tampa,HUB 4,24103,Two Rivers X 40s
Tampa,HUB 4,24104,Two Rivers X 50s
Tampa,HUB 4,24105,Two Rivers X 60s
Tampa,HUB 4,24130,Windsong 18 THs
Tampa,HUB 4,24131,Windsong 28 THs
Tampa,HUB 4,24141,Berry Bay D&F 40's
Tampa,HUB 4,24142,Berry Bay D&F 50's
Tampa,HUB 4,24143,Berry Bay D&F 60's
Tampa,HUB 4,24144,Park East 3B 40's
Tampa,HUB 4,24146,Cypress Point 40's
Tampa,HUB 4,24147,Cypress Point 50's
Tampa,HUB 4,24151,Park East 3A 40's
Tampa,HUB 4,24155,Crystal Brook 20' TH's
Tampa,HUB 4,24176,Ivywood 40s
Tampa,HUB 4,24179,Southshore Bay Ph6 20' THs
Tampa,HUB 4,24182,Park East Ph5 50's
Tampa,HUB 4,24183,Park East Ph5 60's
Tampa,HUB 4,24195,Balcara Southshore THs
Tampa,HUB 5,15181,Forest Brooke AA 50
Tampa,HUB 5,15197,Prosperity Lakes 40s
Tampa,HUB 5,15198,Prosperity Lakes 50s
Tampa,HUB 5,15199,Prosperity Lakes 60s
Tampa,HUB 5,15253,Prosperity Lakes TH
Tampa,HUB 5,15329,South Creek 50s
Tampa,HUB 5,15925,Balm Grove 40s
Tampa,HUB 5,15926,Balm Grove 50s
Tampa,HUB 5,15938,Mirada 40s
Tampa,HUB 5,15957,West Lake 40s
Tampa,HUB 5,15958,West Lake 50s
Tampa,HUB 5,15962,Balm Grove West 60
Tampa,HUB 5,15963,Balm Grove West 50
Tampa,HUB 5,24123,West Lake 18 THs
Tampa,HUB 5,24145,Balm Grove 60's
Tampa,HUB 5,24163,Gladesong
Tampa,HUB 5,24164,South Creek Ph4 50s
Tampa,HUB 5,24165,South Creek Ph4 60s
Tampa,HUB 5,24196,Market's Edge 20' THs
Tampa,HUB 6,15039,STOF Lakeland
Tampa,HUB 6,15177,Prosperity Lakes AA Villas
Tampa,HUB 6,15178,Prosperity Lakes AA 50s
Tampa,HUB 6,15179,Prosperity Lakes AA 60s
Tampa,HUB 6,15905,Abbott Square 18TH
Tampa,HUB 6,15909,Abbott Square 50s
Tampa,HUB 6,15952,Southshore Pt 18' TH's
Tampa,HUB 6,24118,Stonegate 20 THs
Tampa,HUB 6,24119,Stonegate 50s
Tampa,HUB 6,24120,Stonegate 55s
Tampa,HUB 6,24122,Stonegate 65s
Tampa,HUB 6,24132,Seare 20 THs
Tampa,HUB 6,24133,Seaire 28 THs
Tampa,HUB 6,24134,Seaire 40s
Tampa,HUB 6,24135,Seaire 50s
Tampa,HUB 6,24170,Curiosity Creek 50's
Tampa,HUB 6,24171,Chancey 116 TH's
Tampa,HUB 6,24172,Chancey 116 40's
Tampa,HUB 6,24173,Chancey 116 50's
Tampa,HUB 7,15184,North Park Isle 50
Tampa,HUB 7,15911,Saddle Creek 50s
Tampa,HUB 7,15913,Park East 40s
Tampa,HUB 7,15966,Saddle Creek P2 50
Tampa,HUB 7,15999,N Park 2C3B&4 60
Tampa,HUB 8,15951,Twin Rivers 50s
Tampa,HUB 8,24169,Curiosity Creek 40's
Tampa,HUB 8,24187,Parrish Lakes PH2 40s
Tampa,HUB 8,24188,Parrish Lakes PH2 50s
Tampa,Tampa Div OH,15000,Lennar- Tampa                      15000
Tampa,Tampa Div OH,25522,Pasadena Ridge 30s Elevation
Tampa,Tampa Div OH,25523,Pasadena Ridge 40s Elevation
Dallas-Fort Worth,SW Fort Worth HUB,29191,Baker Farms Majors            
